Wavelength,Flux,BestFit,SkyFlux
4533.149,32.059,30.857,5.808
4534.194,35.493,27.793,5.404
4535.237,36.812,27.808,5.326
4536.28,42.524,31.694,5.475
4537.327,53.78,43.042,5.414
4538.37,60.295,56.616,5.533
4539.417,65.397,62.47,5.641
4540.461,67.139,56.073,5.299
4541.508,56.631,42.426,5.48
4542.553,42.618,32.036,5.48
4543.598,30.062,25.675,5.78
4544.646,31.524,25.121,6.146
4545.691,33.475,26.81,5.89
4546.739,34.339,28.503,5.659
4547.785,31.194,30.656,6.271
4548.834,34.244,31.452,6.087
4549.881,34.506,29.962,5.303
4550.927,33.434,28.623,5.206
4551.977,32.479,28.842,5.318
4553.024,33.071,30.477,5.044
4554.074,35.698,32.649,4.997
4555.121,36.235,34.87,5.065
4556.172,35.554,36.895,4.664
4557.22,34.806,37.826,4.554
4558.268,35.04,36.711,4.911
4559.319,35.971,35.269,5.269
4560.368,37.243,36.421,5.416
4561.42,39.841,38.807,5.199
4562.469,37.475,39.569,4.827
4563.521,38.362,40.287,4.793
4564.571,43.821,40.211,4.475
4565.621,38.062,38.514,3.974
4566.674,35.25,36.437,3.91
4567.725,36.822,36.365,4.125
4568.778,36.871,36.342,4.269
4569.829,36.821,36.728,4.457
4570.883,37.078,36.575,4.752
4571.934,36.728,36.089,4.707
4572.989,36.818,36.428,4.463
4574.041,36.099,36.354,4.719
4575.093,37.252,35.748,4.562
4576.148,38.012,35.616,4.336
4577.201,34.371,37.057,4.673
4578.256,37.678,38.839,4.778
4579.309,39.442,38.817,4.878
4580.365,36.394,38.543,5.143
4581.419,35.079,38.927,5.133
4582.473,35.214,37.014,5.148
4583.53,33.725,34.325,5.4
4584.584,34.232,32.651,5.242
4585.641,33.211,31.842,5.045
4586.696,33.938,31.884,5.072
4587.754,35.786,33.631,4.724
4588.809,31.593,33.828,4.686
4589.865,36.082,34.151,4.853
4590.923,36.824,35.6,4.553
4591.98,35.679,36.437,4.32
4593.038,33.824,36.34,4.255
4594.095,34.897,36.528,4.379
4595.154,36.97,36.71,4.365
4596.212,36.193,36.202,3.93
4597.269,38.751,36.113,4.349
4598.329,37.736,37.122,5.237
4599.387,35.768,35.465,5.164
